date,item_id,quantity_sold,day_of_week,month,is_weekend,category_id,is_scheduled,scheduled_item_count,item_scheduled_freq,quantity_lag_1,quantity_lag_2,quantity_lag_7,quantity_roll_mean_3,quantity_roll_mean_7,quantity_roll_std_7
2026-04-06,6a3f54268a1b673e19a1ddad,3.0,0,4,0,6a3fa2c4dfa2f6d0ee22ff0f,1,11,3,0.0,1.0,3.0,0.3333333333333333,0.5714285714285714,1.1338934190276817
2026-04-07,6a3f54268a1b673e19a1ddad,0.0,1,4,0,6a3fa2c4dfa2f6d0ee22ff0f,0,11,3,3.0,0.0,0.0,1.3333333333333333,0.5714285714285714,1.1338934190276817
2026-04-08,6a3f54268a1b673e19a1ddad,0.0,2,4,0,6a3fa2c4dfa2f6d0ee22ff0f,0,11,3,0.0,3.0,0.0,1.0,0.5714285714285714,1.1338934190276817
2026-04-09,6a3f54268a1b673e19a1ddad,1.0,3,4,0,6a3fa2c4dfa2f6d0ee22ff0f,1,10,3,0.0,0.0,0.0,1.0,0.5714285714285714,1.1338934190276817
2026-04-10,6a3f54268a1b673e19a1ddad,0.0,4,4,0,6a3fa2c4dfa2f6d0ee22ff0f,0,12,3,1.0,0.0,0.0,0.3333333333333333,0.7142857142857143,1.1126972805283737
2026-04-11,6a3f54268a1b673e19a1ddad,0.0,5,4,1,6a3fa2c4dfa2f6d0ee22ff0f,1,10,3,0.0,1.0,1.0,0.3333333333333333,0.7142857142857143,1.1126972805283737
2026-04-12,6a3f54268a1b673e19a1ddad,0.0,6,4,1,6a3fa2c4dfa2f6d0ee22ff0f,0,5,3,0.0,0.0,0.0,0.3333333333333333,0.5714285714285714,1.1338934190276817
2026-04-13,6a3f54268a1b673e19a1ddad,0.0,0,4,0,6a3fa2c4dfa2f6d0ee22ff0f,1,11,3,0.0,0.0,3.0,0.0,0.5714285714285714,1.1338934190276817
2026-04-14,6a3f54268a1b673e19a1ddad,0.0,1,4,0,6a3fa2c4dfa2f6d0ee22ff0f,0,11,3,0.0,0.0,0.0,0.0,0.14285714285714285,0.37796447300922775
2026-04-15,6a3f54268a1b673e19a1ddad,0.0,2,4,0,6a3fa2c4dfa2f6d0ee22ff0f,0,11,3,0.0,0.0,0.0,0.0,0.14285714285714285,0.37796447300922775
2026-04-16,6a3f54268a1b673e19a1ddad,2.0,3,4,0,6a3fa2c4dfa2f6d0ee22ff0f,1,10,3,0.0,0.0,1.0,0.0,0.14285714285714285,0.37796447300922775
2026-04-17,6a3f54268a1b673e19a1ddad,0.0,4,4,0,6a3fa2c4dfa2f6d0ee22ff0f,0,12,3,2.0,0.0,0.0,0.6666666666666666,0.2857142857142857,0.7559289460184545
2026-04-18,6a3f54268a1b673e19a1ddad,0.0,5,4,1,6a3fa2c4dfa2f6d0ee22ff0f,1,10,3,0.0,2.0,0.0,0.6666666666666666,0.2857142857142857,0.7559289460184545
2026-04-19,6a3f54268a1b673e19a1ddad,0.0,6,4,1,6a3fa2c4dfa2f6d0ee22ff0f,0,5,3,0.0,0.0,0.0,0.6666666666666666,0.2857142857142857,0.7559289460184545
2026-04-20,6a3f54268a1b673e19a1ddad,3.0,0,4,0,6a3fa2c4dfa2f6d0ee22ff0f,1,11,3,0.0,0.0,0.0,0.0,0.2857142857142857,0.7559289460184545
2026-04-21,6a3f54268a1b673e19a1ddad,0.0,1,4,0,6a3fa2c4dfa2f6d0ee22ff0f,0,11,3,3.0,0.0,0.0,1.0,0.7142857142857143,1.2535663410560174
2026-04-22,6a3f54268a1b673e19a1ddad,0.0,2,4,0,6a3fa2c4dfa2f6d0ee22ff0f,0,11,3,0.0,3.0,0.0,1.0,0.7142857142857143,1.2535663410560174
2026-04-23,6a3f54268a1b673e19a1ddad,0.0,3,4,0,6a3fa2c4dfa2f6d0ee22ff0f,1,10,3,0.0,0.0,2.0,1.0,0.7142857142857143,1.2535663410560174
2026-04-24,6a3f54268a1b673e19a1ddad,0.0,4,4,0,6a3fa2c4dfa2f6d0ee22ff0f,0,12,3,0.0,0.0,0.0,0.0,0.42857142857142855,1.1338934190276817
