day_of_week,item_id
Monday,6a3fa2c5dfa2f6d0ee22ff15
Monday,6a3f54268a1b673e19a1ddad
Monday,6a3fa373da5b18e68c8bc43f
Monday,6a3fa373da5b18e68c8bc440
Monday,6a3fa373da5b18e68c8bc441
Monday,6a3fa373da5b18e68c8bc442
Monday,6a3fa374da5b18e68c8bc448
Monday,6a3fa374da5b18e68c8bc445
Monday,6a3f54268a1b673e19a1ddb6
Monday,6a3fa374da5b18e68c8bc447
Monday,6a3fa374da5b18e68c8bc446
Tuesday,6a3fa2c5dfa2f6d0ee22ff17
Tuesday,6a3fa2c5dfa2f6d0ee22ff16
Tuesday,6a3fa373da5b18e68c8bc43c
Tuesday,6a3fa373da5b18e68c8bc443
Tuesday,6a3fa373da5b18e68c8bc444
Tuesday,6a3fa374da5b18e68c8bc449
Tuesday,6a3fa373da5b18e68c8bc43d
Tuesday,6a3fa374da5b18e68c8bc446
Tuesday,6a3fa374da5b18e68c8bc447
Tuesday,6a3fa374da5b18e68c8bc448
Tuesday,6a3fa374da5b18e68c8bc445
Wednesday,6a3fa2c5dfa2f6d0ee22ff13
Wednesday,6a3fa2c5dfa2f6d0ee22ff15
Wednesday,6a3fa373da5b18e68c8bc43c
Wednesday,6a3fa2c6dfa2f6d0ee22ff18
Wednesday,6a3fa373da5b18e68c8bc43f
Wednesday,6a3fa373da5b18e68c8bc442
Wednesday,6a3fa373da5b18e68c8bc441
Wednesday,6a3fa374da5b18e68c8bc447
Wednesday,6a3fa374da5b18e68c8bc448
Wednesday,6a3fa374da5b18e68c8bc445
Wednesday,6a3fa374da5b18e68c8bc446
Thursday,6a3fa2c5dfa2f6d0ee22ff13
Thursday,6a3f54268a1b673e19a1ddad
Thursday,6a3fa373da5b18e68c8bc444
Thursday,6a3fa373da5b18e68c8bc443
Thursday,6a3fa374da5b18e68c8bc448
Thursday,6a3fa374da5b18e68c8bc445
Thursday,6a3fa374da5b18e68c8bc447
Thursday,6a3fa374da5b18e68c8bc449
Thursday,6a3fa374da5b18e68c8bc446
Thursday,6a3fa373da5b18e68c8bc440
Friday,6a3fa2c5dfa2f6d0ee22ff17
Friday,6a3fa2c5dfa2f6d0ee22ff16
Friday,6a3fa2c6dfa2f6d0ee22ff18
Friday,6a3fa373da5b18e68c8bc43d
Friday,6a3fa373da5b18e68c8bc43e
Friday,6a3fa373da5b18e68c8bc441
Friday,6a3fa373da5b18e68c8bc442
Friday,6a3fa374da5b18e68c8bc447
Friday,6a3fa374da5b18e68c8bc448
Friday,6a3fa374da5b18e68c8bc445
Friday,6a3fa374da5b18e68c8bc446
Friday,6a3f54268a1b673e19a1ddb6
Saturday,6a3fa2c5dfa2f6d0ee22ff14
Saturday,6a3fa2c6dfa2f6d0ee22ff18
Saturday,6a3f54268a1b673e19a1ddad
Saturday,6a3fa373da5b18e68c8bc43e
Saturday,6a3fa373da5b18e68c8bc441
Saturday,6a3fa373da5b18e68c8bc442
Saturday,6a3fa374da5b18e68c8bc447
Saturday,6a3fa374da5b18e68c8bc448
Saturday,6a3fa374da5b18e68c8bc445
Saturday,6a3fa374da5b18e68c8bc446
Sunday,6a3fa2c5dfa2f6d0ee22ff13
Sunday,6a3fa2c6dfa2f6d0ee22ff18
Sunday,6a3fa374da5b18e68c8bc445
Sunday,6a3fa374da5b18e68c8bc447
Sunday,6a3fa374da5b18e68c8bc446
Sunday,6a3fa373da5b18e68c8bc441
Sunday,6a3fa373da5b18e68c8bc442
Sunday,6a3fa373da5b18e68c8bc440
Sunday,6a3fa373da5b18e68c8bc43f
Sunday,6a3fa2c5dfa2f6d0ee22ff17
